,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
18,0,2020.0,West Bromwich Albion,38.0,5.0,11.0,22.0,35.0,76.0,26.0,34.97,-0.03,74.04,-1.96,29.59,3.59
19,0,2020.0,Sheffield United,38.0,7.0,2.0,29.0,20.0,63.0,23.0,33.16,13.16,66.11,3.11,29.92,6.92
20,0,2020.0,Atletico Madrid,38.0,26.0,8.0,4.0,67.0,25.0,86.0,57.66,-9.34,35.67,10.67,66.41,-19.59
21,0,2020.0,Real Madrid,38.0,25.0,9.0,4.0,67.0,28.0,84.0,65.07,-1.93,38.7,10.7,69.98,-14.02
22,0,2020.0,Barcelona,38.0,24.0,7.0,7.0,85.0,38.0,79.0,83.96,-1.04,40.93,2.93,78.18,-0.82
23,0,2020.0,Sevilla,38.0,24.0,5.0,9.0,53.0,33.0,77.0,55.86,2.86,34.33,1.33,66.96,-10.04
24,0,2020.0,Real Sociedad,38.0,17.0,11.0,10.0,59.0,38.0,62.0,63.15,4.15,38.8,0.8,67.61,5.61
25,0,2020.0,Real Betis,38.0,17.0,10.0,11.0,50.0,50.0,61.0,49.77,-0.23,47.51,-2.49,55.37,-5.63
26,0,2020.0,Villarreal,38.0,15.0,13.0,10.0,60.0,44.0,58.0,57.86,-2.14,43.67,-0.33,63.77,5.77
27,0,2020.0,Celta Vigo,38.0,14.0,11.0,13.0,55.0,57.0,53.0,51.32,-3.68,50.31,-6.69,52.83,-0.17
28,0,2020.0,Athletic Club,38.0,11.0,13.0,14.0,46.0,42.0,46.0,43.06,-2.94,38.46,-3.54,54.77,8.77
29,0,2020.0,Granada,38.0,13.0,7.0,18.0,47.0,65.0,46.0,41.05,-5.95,59.82,-5.18,40.58,-5.42
30,0,2020.0,Osasuna,38.0,11.0,11.0,16.0,37.0,48.0,44.0,39.61,2.61,49.83,1.83,45.1,1.1
31,0,2020.0,Cadiz,38.0,11.0,11.0,16.0,36.0,58.0,44.0,36.7,0.7,58.91,0.91,39.01,-4.99
32,0,2020.0,Valencia,38.0,10.0,13.0,15.0,50.0,53.0,43.0,41.89,-8.11,55.69,2.69,42.38,-0.62
33,0,2020.0,Levante,38.0,9.0,14.0,15.0,46.0,57.0,41.0,40.93,-5.07,55.13,-1.87,43.53,2.53
34,0,2020.0,Getafe,38.0,9.0,11.0,18.0,28.0,43.0,38.0,35.62,7.62,40.4,-2.6,48.39,10.39
35,0,2020.0,Alaves,38.0,9.0,11.0,18.0,36.0,57.0,38.0,39.11,3.11,51.55,-5.45,43.23,5.23
36,0,2020.0,Elche,38.0,8.0,12.0,18.0,34.0,55.0,36.0,30.4,-3.6,61.63,6.63,30.31,-5.69
37,0,2020.0,SD Huesca,38.0,7.0,13.0,18.0,34.0,53.0,34.0,37.98,3.98,48.64,-4.36,45.23,11.23
38,0,2020.0,Real Valladolid,38.0,5.0,16.0,17.0,34.0,57.0,31.0,37.92,3.92,52.56,-4.44,41.53,10.53
39,0,2020.0,Eibar,38.0,6.0,12.0,20.0,29.0,52.0,30.0,42.45,13.45,48.84,-3.16,48.62,18.62
40,0,2020.0,Bayern Munich,34.0,24.0,6.0,4.0,99.0,44.0,78.0,75.93,-23.07,38.87,-5.13,67.04,-10.96
41,0,2020.0,RasenBallsport Leipzig,34.0,19.0,8.0,7.0,60.0,32.0,65.0,67.14,7.14,29.24,-2.76,71.42,6.42
42,0,2020.0,Borussia Dortmund,34.0,20.0,4.0,10.0,75.0,46.0,64.0,68.95,-6.05,39.44,-6.56,65.19,1.19
43,0,2020.0,Wolfsburg,34.0,17.0,10.0,7.0,61.0,37.0,61.0,51.59,-9.41,39.16,2.16,55.31,-5.69
44,0,2020.0,Eintracht Frankfurt,34.0,16.0,12.0,6.0,69.0,53.0,60.0,60.53,-8.47,47.73,-5.27,56.28,-3.72
45,0,2020.0,Bayer Leverkusen,34.0,14.0,10.0,10.0,53.0,39.0,52.0,47.28,-5.72,40.41,1.41,50.01,-1.99
46,0,2020.0,Union Berlin,34.0,12.0,14.0,8.0,50.0,43.0,50.0,46.0,-4.0,43.51,0.51,51.71,1.71
47,0,2020.0,Borussia M.Gladbach,34.0,13.0,10.0,11.0,64.0,56.0,49.0,54.11,-9.89,44.71,-11.29,52.18,3.18
48,0,2020.0,VfB Stuttgart,34.0,12.0,9.0,13.0,56.0,55.0,45.0,52.18,-3.82,53.79,-1.21,47.18,2.18
49,0,2020.0,Freiburg,34.0,12.0,9.0,13.0,52.0,52.0,45.0,45.11,-6.89,52.98,0.98,41.18,-3.82
