Season,Overall Rank,Team,Country,League Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points Per Match,Expected Goals,Expected Goals Against,Expected Goal Difference,Expected Goal Difference Per Match
2000-2001,31,Inter,it,5,34,14,9,11,47,47,0.0,51,1.50,,,,
2000-2001,32,Rennes,fr,6,34,15,5,14,46,37,9.0,50,1.47,,,,
2000-2001,33,Málaga,es,8,38,16,8,14,60,61,-1.0,56,1.47,,,,
2000-2001,34,Kaiserslautern,de,8,34,15,5,14,49,54,-5.0,50,1.47,,,,
2000-2001,35,Milan,it,6,34,12,13,9,56,46,10.0,49,1.44,,,,
2000-2001,36,Aston Villa,eng,8,38,13,15,10,46,43,3.0,54,1.42,,,,
2000-2001,37,Wolfsburg,de,9,34,12,11,11,60,45,15.0,47,1.38,,,,
2000-2001,38,Charlton Ath,eng,9,38,14,10,14,50,57,-7.0,52,1.37,,,,
2000-2001,39,Southampton,eng,10,38,14,10,14,40,48,-8.0,52,1.37,,,,
2000-2001,40,Köln,de,10,34,12,10,12,59,52,7.0,46,1.35,,,,
2000-2001,41,Troyes,fr,7,34,11,13,10,45,47,-2.0,46,1.35,,,,
2000-2001,42,Newcastle Utd,eng,11,38,14,9,15,44,50,-6.0,51,1.34,,,,
2000-2001,43,Bastia,fr,8,34,13,6,15,45,41,4.0,45,1.32,,,,
2000-2001,44,Espanyol,es,9,38,14,8,16,46,44,2.0,50,1.32,,,,
2000-2001,45,Atalanta,it,7,34,10,14,10,38,34,4.0,44,1.29,,,,
2000-2001,46,Brescia,it,8,34,10,14,10,44,42,2.0,44,1.29,,,,
2000-2001,47,Alavés,es,10,38,14,7,17,58,59,-1.0,49,1.29,,,,
2000-2001,48,Paris S-G,fr,9,34,12,8,14,44,45,-1.0,44,1.29,,,,
2000-2001,49,Tottenham,eng,12,38,13,10,15,47,54,-7.0,49,1.29,,,,
2000-2001,50,Guingamp,fr,10,34,11,11,12,40,48,-8.0,44,1.29,,,,
2000-2001,51,1860 Munich,de,11,34,12,8,14,43,55,-12.0,44,1.29,,,,
2000-2001,52,Monaco,fr,11,34,12,7,15,53,50,3.0,43,1.26,,,,
2000-2001,53,Fiorentina,it,9,34,10,13,11,53,52,1.0,43,1.26,,,,
2000-2001,54,Bologna,it,10,34,11,10,13,49,53,-4.0,43,1.26,,,,
2000-2001,55,Leicester City,eng,13,38,14,6,18,39,51,-12.0,48,1.26,,,,
2000-2001,56,Hansa Rostock,de,12,34,12,7,15,34,47,-13.0,43,1.26,,,,
2000-2001,57,Perugia,it,11,34,10,12,12,49,53,-4.0,42,1.24,,,,
2000-2001,58,Metz,fr,12,34,11,9,14,35,44,-9.0,42,1.24,,,,
2000-2001,59,Hamburger SV,de,13,34,10,11,13,58,58,0.0,41,1.21,,,,
2000-2001,60,Auxerre,fr,13,34,11,8,15,31,41,-10.0,41,1.21,,,,
2000-2001,61,Las Palmas,es,11,38,13,7,18,42,62,-20.0,46,1.21,,,,
2000-2001,62,Lens,fr,14,34,9,13,12,37,39,-2.0,40,1.18,,,,
2000-2001,63,Marseille,fr,15,34,11,7,16,31,40,-9.0,40,1.18,,,,
2000-2001,64,Energie Cottbus,de,14,34,12,3,19,38,52,-14.0,39,1.15,,,,
2000-2001,65,Rayo Vallecano,es,14,38,10,13,15,56,68,-12.0,43,1.13,,,,
2000-2001,66,Real Sociedad,es,13,38,11,10,17,52,68,-16.0,43,1.13,,,,
2000-2001,67,Athletic Club,es,12,38,11,10,17,44,60,-16.0,43,1.13,,,,
2000-2001,68,Stuttgart,de,15,34,9,11,14,42,49,-7.0,38,1.12,,,,
2000-2001,69,Udinese,it,12,34,11,5,18,49,59,-10.0,38,1.12,,,,
2000-2001,70,Middlesbrough,eng,14,38,9,15,14,44,44,0.0,42,1.11,,,,
2000-2001,71,Zaragoza,es,17,38,9,15,14,54,57,-3.0,42,1.11,,,,
2000-2001,72,West Ham,eng,15,38,10,12,16,45,50,-5.0,42,1.11,,,,
2000-2001,73,Valladolid,es,16,38,9,15,14,42,50,-8.0,42,1.11,,,,
2000-2001,74,Osasuna,es,15,38,10,12,16,43,54,-11.0,42,1.11,,,,
2000-2001,75,Everton,eng,16,38,11,9,18,45,59,-14.0,42,1.11,,,,
2000-2001,76,Derby County,eng,17,38,10,12,16,37,59,-22.0,42,1.11,,,,
2000-2001,77,Lecce,it,13,34,8,13,13,40,54,-14.0,37,1.09,,,,
2000-2001,78,Toulouse,fr,16,34,9,10,15,34,49,-15.0,37,1.09,,,,
2000-2001,79,Reggina,it,15,34,10,7,17,32,49,-17.0,37,1.09,,,,
2000-2001,80,Hellas Verona,it,14,34,10,7,17,40,59,-19.0,37,1.09,,,,
2000-2001,81,Oviedo,es,18,38,11,8,19,51,67,-16.0,41,1.08,,,,
2000-2001,82,Vicenza,it,16,34,9,9,16,37,51,-14.0,36,1.06,,,,
2000-2001,83,Napoli,it,17,34,8,12,14,35,51,-16.0,36,1.06,,,,
2000-2001,84,Racing Sant,es,19,38,10,9,19,48,62,-14.0,39,1.03,,,,
2000-2001,85,Numancia,es,20,38,10,9,19,40,64,-24.0,39,1.03,,,,
2000-2001,86,Unterhaching,de,16,34,8,11,15,35,59,-24.0,35,1.03,,,,
2000-2001,87,Eint Frankfurt,de,17,34,10,5,19,41,68,-27.0,35,1.03,,,,
2000-2001,88,Saint-Étienne,fr,17,34,8,10,16,42,56,-14.0,34,1.00,,,,
2000-2001,89,Manchester City,eng,18,38,8,10,20,41,65,-24.0,34,0.89,,,,
2000-2001,90,Coventry City,eng,19,38,8,10,20,36,63,-27.0,34,0.89,,,,
2000-2001,91,Strasbourg,fr,18,34,7,8,19,28,61,-33.0,29,0.85,,,,
2000-2001,92,Bochum,de,18,34,7,6,21,30,67,-37.0,27,0.79,,,,
2000-2001,93,Bradford City,eng,20,38,5,11,22,30,70,-40.0,26,0.68,,,,
2000-2001,94,Bari,it,18,34,5,5,24,31,68,-37.0,20,0.59,,,,
1999-2000,1,Manchester Utd,eng,1,38,28,7,3,97,45,52.0,91,2.39,,,,
1999-2000,2,Bayern Munich,de,1,34,22,7,5,73,28,45.0,73,2.15,,,,
1999-2000,3,Leverkusen,de,2,34,21,10,3,74,36,38.0,73,2.15,,,,
1999-2000,4,Lazio,it,1,34,21,9,4,64,33,31.0,72,2.12,,,,
1999-2000,5,Juventus,it,2,34,21,8,5,46,20,26.0,71,2.09,,,,
1999-2000,6,Arsenal,eng,2,38,22,7,9,73,43,30.0,73,1.92,,,,
1999-2000,7,Monaco,fr,1,34,20,5,9,69,38,31.0,65,1.91,,,,
1999-2000,8,La Coruña,es,1,38,21,6,11,66,44,22.0,69,1.82,,,,
1999-2000,9,Leeds United,eng,3,38,21,6,11,58,43,15.0,69,1.82,,,,
1999-2000,10,Milan,it,3,34,16,13,5,65,40,25.0,61,1.79,,,,
1999-2000,11,Liverpool,eng,4,38,19,10,9,51,30,21.0,67,1.76,,,,
1999-2000,12,Hamburger SV,de,3,34,16,11,7,63,39,24.0,59,1.74,,,,
1999-2000,13,Inter,it,4,34,17,7,10,58,36,22.0,58,1.71,,,,
1999-2000,14,Chelsea,eng,5,38,18,11,9,53,34,19.0,65,1.71,,,,
1999-2000,15,Parma,it,5,34,16,10,8,52,37,15.0,58,1.71,,,,
1999-2000,16,Paris S-G,fr,2,34,16,10,8,54,40,14.0,58,1.71,,,,
1999-2000,17,Barcelona,es,2,38,19,7,12,70,46,24.0,64,1.68,,,,
1999-2000,18,Valencia,es,3,38,18,10,10,59,39,20.0,64,1.68,,,,
1999-2000,19,Zaragoza,es,4,38,16,15,7,60,40,20.0,63,1.66,,,,
1999-2000,20,Lyon,fr,3,34,16,8,10,45,42,3.0,56,1.65,,,,
1999-2000,21,Real Madrid,es,5,38,16,14,8,58,48,10.0,62,1.63,,,,
1999-2000,22,Alavés,es,6,38,17,10,11,41,37,4.0,61,1.61,,,,
1999-2000,23,Roma,it,6,34,14,12,8,57,34,23.0,54,1.59,,,,
1999-2000,24,Bordeaux,fr,4,34,15,9,10,52,40,12.0,54,1.59,,,,
1999-2000,25,1860 Munich,de,4,34,14,11,9,55,48,7.0,53,1.56,,,,
1999-2000,26,Aston Villa,eng,6,38,15,13,10,46,35,11.0,58,1.53,,,,
1999-2000,27,Sunderland,eng,7,38,16,10,12,57,56,1.0,58,1.53,,,,
1999-2000,28,Fiorentina,it,7,34,13,12,9,48,38,10.0,51,1.50,,,,
1999-2000,29,Udinese,it,8,34,13,11,10,55,45,10.0,50,1.47,,,,
1999-2000,30,Kaiserslautern,de,5,34,15,5,14,54,59,-5.0,50,1.47,,,,
1999-2000,31,Hertha BSC,de,6,34,13,11,10,39,46,-7.0,50,1.47,,,,
1999-2000,32,Leicester City,eng,8,38,16,7,15,55,55,0.0,55,1.45,,,,
1999-2000,33,West Ham,eng,9,38,15,10,13,52,53,-1.0,55,1.45,,,,
1999-2000,34,Lens,fr,5,34,14,7,13,42,41,1.0,49,1.44,,,,
1999-2000,35,Wolfsburg,de,7,34,12,13,9,51,58,-7.0,49,1.44,,,,
1999-2000,36,Saint-Étienne,fr,6,34,13,9,12,46,47,-1.0,48,1.41,,,,
1999-2000,37,Sedan,fr,7,34,13,9,12,43,44,-1.0,48,1.41,,,,
1999-2000,38,Stuttgart,de,8,34,14,6,14,44,47,-3.0,48,1.41,,,,
1999-2000,39,Tottenham,eng,10,38,15,8,15,57,49,8.0,53,1.39,,,,
1999-2000,40,Celta Vigo,es,7,38,15,8,15,45,43,2.0,53,1.39,,,,
1999-2000,41,Valladolid,es,8,38,14,11,13,36,44,-8.0,53,1.39,,,,
1999-2000,42,Werder Bremen,de,9,34,13,8,13,65,52,13.0,47,1.38,,,,
1999-2000,43,Auxerre,fr,8,34,13,8,13,37,39,-2.0,47,1.38,,,,
1999-2000,44,Newcastle Utd,eng,11,38,14,10,14,63,54,9.0,52,1.37,,,,
1999-2000,45,Rayo Vallecano,es,9,38,15,7,16,51,53,-2.0,52,1.37,,,,
1999-2000,46,Middlesbrough,eng,12,38,14,10,14,46,52,-6.0,52,1.37,,,,
1999-2000,47,Strasbourg,fr,9,34,13,7,14,42,52,-10.0,46,1.35,,,,
1999-2000,48,Mallorca,es,10,38,14,9,15,52,45,7.0,51,1.34,,,,
1999-2000,49,Everton,eng,13,38,12,14,12,59,49,10.0,50,1.32,,,,
1999-2000,50,Bastia,fr,10,34,11,12,11,43,39,4.0,45,1.32,,,,
1999-2000,51,Athletic Club,es,11,38,12,14,12,47,57,-10.0,50,1.32,,,,
1999-2000,52,Metz,fr,11,34,9,17,8,38,33,5.0,44,1.29,,,,
1999-2000,53,Unterhaching,de,10,34,12,8,14,40,42,-2.0,44,1.29,,,,
1999-2000,54,Málaga,es,12,38,11,15,12,55,50,5.0,48,1.26,,,,
1999-2000,55,Nantes,fr,12,34,12,7,15,39,40,-1.0,43,1.26,,,,
1999-2000,56,Rennes,fr,13,34,12,7,15,44,48,-4.0,43,1.26,,,,
1999-2000,57,Hellas Verona,it,9,34,10,13,11,40,45,-5.0,43,1.26,,,,
1999-2000,58,Troyes,fr,14,34,13,4,17,36,52,-16.0,43,1.26,,,,
1999-2000,59,Espanyol,es,14,38,12,11,15,51,48,3.0,47,1.24,,,,
1999-2000,60,Marseille,fr,15,34,9,15,10,45,45,0.0,42,1.24,,,,
1999-2000,61,Nancy,fr,16,34,11,9,14,43,45,-2.0,42,1.24,,,,
1999-2000,62,Real Sociedad,es,13,38,11,14,13,42,49,-7.0,47,1.24,,,,
1999-2000,63,Perugia,it,10,34,12,6,16,36,52,-16.0,42,1.24,,,,
1999-2000,64,Racing Sant,es,15,38,10,16,12,52,50,2.0,46,1.21,,,,
1999-2000,65,Dortmund,de,11,34,9,13,12,41,38,3.0,40,1.18,,,,
1999-2000,66,Freiburg,de,12,34,10,10,14,45,50,-5.0,40,1.18,,,,
1999-2000,67,Bologna,it,11,34,9,13,12,32,39,-7.0,40,1.18,,,,
1999-2000,68,Reggina,it,12,34,9,13,12,31,42,-11.0,40,1.18,,,,
1999-2000,69,Numancia,es,17,38,11,12,15,47,59,-12.0,45,1.18,,,,
1999-2000,70,Oviedo,es,16,38,11,12,15,44,60,-16.0,45,1.18,,,,
1999-2000,71,Lecce,it,13,34,10,10,14,33,49,-16.0,40,1.18,,,,
1999-2000,72,Coventry City,eng,14,38,12,8,18,47,54,-7.0,44,1.16,,,,
1999-2000,73,Southampton,eng,15,38,12,8,18,45,62,-17.0,44,1.16,,,,
1999-2000,74,Schalke 04,de,13,34,8,15,11,42,44,-2.0,39,1.15,,,,
1999-2000,75,Eint Frankfurt,de,14,34,12,5,17,42,44,-2.0,39,1.15,,,,
1999-2000,76,Bari,it,14,34,10,9,15,34,48,-14.0,39,1.15,,,,
1999-2000,77,Hansa Rostock,de,15,34,8,14,12,44,60,-16.0,38,1.12,,,,
1999-2000,78,Betis,es,18,38,11,9,18,33,56,-23.0,42,1.11,,,,
1999-2000,79,Torino,it,15,34,8,12,14,35,47,-12.0,36,1.06,,,,
1999-2000,80,Ulm,de,16,34,9,8,17,36,62,-26.0,35,1.03,,,,
1999-2000,81,Derby County,eng,16,38,9,11,18,44,57,-13.0,38,1.00,,,,
1999-2000,82,Atlético Madrid,es,19,38,9,11,18,48,64,-16.0,38,1.00,,,,
1999-2000,83,Le Havre,fr,17,34,9,7,18,30,52,-22.0,34,1.00,,,,
1999-2000,84,Bradford City,eng,17,38,9,9,20,38,68,-30.0,36,0.95,,,,
1999-2000,85,Montpellier,fr,18,34,7,10,17,39,50,-11.0,31,0.91,,,,
1999-2000,86,Arminia,de,17,34,7,9,18,40,61,-21.0,30,0.88,,,,
1999-2000,87,Wimbledon,eng,18,38,7,12,19,46,74,-28.0,33,0.87,,,,
1999-2000,88,Sheffield Weds,eng,19,38,8,7,23,38,70,-32.0,31,0.82,,,,
1999-2000,89,Venezia,it,16,34,6,8,20,30,60,-30.0,26,0.76,,,,
1999-2000,90,Sevilla,es,20,38,5,13,20,42,67,-25.0,28,0.74,,,,
1999-2000,91,Cagliari,it,17,34,3,13,18,29,54,-25.0,22,0.65,,,,
1999-2000,92,MSV Duisburg,de,18,34,4,10,20,37,71,-34.0,22,0.65,,,,
1999-2000,93,Watford,eng,20,38,6,6,26,35,77,-42.0,24,0.63,,,,
1999-2000,94,Piacenza,it,18,34,4,9,21,19,45,-26.0,21,0.62,,,,
1998-1999,1,Bayern Munich,de,1,34,24,6,4,76,28,48.0,78,2.29,,,,
1998-1999,2,Bordeaux,fr,1,34,22,6,6,66,29,37.0,72,2.12,,,,
1998-1999,3,Marseille,fr,2,34,21,8,5,56,28,28.0,71,2.09,,,,
1998-1999,4,Barcelona,es,1,38,24,7,7,87,43,44.0,79,2.08,,,,
1998-1999,5,Manchester Utd,eng,1,38,22,13,3,80,37,43.0,79,2.08,,,,
1998-1999,6,Milan,it,1,34,20,10,4,59,34,25.0,70,2.06,,,,
1998-1999,7,Arsenal,eng,2,38,22,12,4,59,17,42.0,78,2.05,,,,
1998-1999,8,Lazio,it,2,34,20,9,5,65,31,34.0,69,2.03,,,,
1998-1999,9,Chelsea,eng,3,38,20,15,3,57,30,27.0,75,1.97,,,,
1998-1999,10,Leverkusen,de,2,34,17,12,5,61,30,31.0,63,1.85,,,,
1998-1999,11,Lyon,fr,3,34,18,9,7,51,31,20.0,63,1.85,,,,
1998-1999,12,Hertha BSC,de,3,34,18,8,8,59,32,27.0,62,1.82,,,,
1998-1999,13,Monaco,fr,4,34,18,8,8,52,32,20.0,62,1.82,,,,
1998-1999,14,Real Madrid,es,2,38,21,5,12,77,62,15.0,68,1.79,,,,
1998-1999,15,Leeds United,eng,4,38,18,13,7,62,34,28.0,67,1.76,,,,
1998-1999,16,Mallorca,es,3,38,20,6,12,48,31,17.0,66,1.74,,,,
1998-1999,17,Rennes,fr,5,34,17,8,9,45,38,7.0,59,1.74,,,,
1998-1999,18,Valencia,es,4,38,19,8,11,63,39,24.0,65,1.71,,,,
1998-1999,19,Celta Vigo,es,5,38,17,13,8,69,41,28.0,64,1.68,,,,
1998-1999,20,Dortmund,de,4,34,16,9,9,48,34,14.0,57,1.68,,,,
1998-1999,21,Kaiserslautern,de,5,34,17,6,11,51,47,4.0,57,1.68,,,,
1998-1999,22,Deportivo La Coruña,es,6,38,17,12,9,55,43,12.0,63,1.66,,,,
1998-1999,23,Fiorentina,it,3,34,16,8,10,55,41,14.0,56,1.65,,,,
1998-1999,24,Parma,it,4,34,15,10,9,55,36,19.0,55,1.62,,,,
1998-1999,25,Wolfsburg,de,6,34,15,10,9,54,49,5.0,55,1.62,,,,
1998-1999,26,Espanyol,es,7,38,16,13,9,49,38,11.0,61,1.61,,,,
1998-1999,27,Roma,it,5,34,15,9,10,69,49,20.0,54,1.59,,,,
1998-1999,28,Juventus,it,7,34,15,9,10,42,36,6.0,54,1.59,,,,
1998-1999,29,Udinese,it,6,34,16,6,12,52,52,0.0,54,1.59,,,,
1998-1999,30,Athletic Club,es,8,38,17,9,12,53,47,6.0,60,1.58,,,,
1998-1999,31,Zaragoza,es,9,38,16,9,13,57,46,11.0,57,1.50,,,,
1998-1999,32,West Ham,eng,5,38,16,9,13,46,53,-7.0,57,1.50,,,,
1998-1999,33,Hamburger SV,de,7,34,13,11,10,47,46,1.0,50,1.47,,,,
1998-1999,34,Aston Villa,eng,6,38,15,10,13,51,46,5.0,55,1.45,,,,
1998-1999,35,Lens,fr,6,34,14,7,13,46,43,3.0,49,1.44,,,,
1998-1999,36,MSV Duisburg,de,8,34,13,10,11,48,45,3.0,49,1.44,,,,
1998-1999,37,Liverpool,eng,7,38,15,9,14,68,49,19.0,54,1.42,,,,
1998-1999,38,Real Sociedad,es,10,38,14,12,12,47,43,4.0,54,1.42,,,,
1998-1999,39,Nantes,fr,7,34,12,12,10,40,34,6.0,48,1.41,,,,
1998-1999,40,Derby County,eng,8,38,13,13,12,40,45,-5.0,52,1.37,,,,
1998-1999,41,Inter,it,8,34,13,7,14,59,54,5.0,46,1.35,,,,
1998-1999,42,Middlesbrough,eng,9,38,12,15,11,48,54,-6.0,51,1.34,,,,
1998-1999,43,Bologna,it,9,34,11,11,12,44,47,-3.0,44,1.29,,,,
1998-1999,44,Leicester City,eng,10,38,12,13,13,40,46,-6.0,49,1.29,,,,
1998-1999,45,Real Betis,es,11,38,14,7,17,47,58,-11.0,49,1.29,,,,
1998-1999,46,Montpellier,fr,8,34,11,10,13,53,50,3.0,43,1.26,,,,
1998-1999,47,Valladolid,es,12,38,13,9,16,35,44,-9.0,48,1.26,,,,
1998-1999,48,Tottenham,eng,11,38,11,14,13,47,50,-3.0,47,1.24,,,,
1998-1999,49,Bari,it,10,34,9,15,10,39,44,-5.0,42,1.24,,,,
1998-1999,50,Venezia,it,11,34,11,9,14,38,45,-7.0,42,1.24,,,,
1998-1999,51,Atlético Madrid,es,13,38,12,10,16,54,50,4.0,46,1.21,,,,
1998-1999,52,Cagliari,it,13,34,11,8,15,49,50,-1.0,41,1.21,,,,
1998-1999,53,Piacenza,it,12,34,11,8,15,48,49,-1.0,41,1.21,,,,
1998-1999,54,Sheffield Weds,eng,12,38,13,7,18,41,42,-1.0,46,1.21,,,,
1998-1999,55,Newcastle Utd,eng,13,38,11,13,14,48,54,-6.0,46,1.21,,,,
1998-1999,56,1860 Munich,de,9,34,11,8,15,49,56,-7.0,41,1.21,,,,
1998-1999,57,Schalke 04,de,10,34,10,11,13,41,54,-13.0,41,1.21,,,,
1998-1999,58,Oviedo,es,14,38,11,12,15,41,57,-16.0,45,1.18,,,,
1998-1999,59,Paris S-G,fr,9,34,10,9,15,34,35,-1.0,39,1.15,,,,
1998-1999,60,Stuttgart,de,11,34,9,12,13,41,48,-7.0,39,1.15,,,,
1998-1999,61,Freiburg,de,12,34,10,9,15,36,44,-8.0,39,1.15,,,,
1998-1999,62,Metz,fr,10,34,9,12,13,28,37,-9.0,39,1.15,,,,
1998-1999,63,Nancy,fr,11,34,10,9,15,35,45,-10.0,39,1.15,,,,
1998-1999,64,Perugia,it,14,34,11,6,17,43,61,-18.0,39,1.15,,,,
1998-1999,65,Everton,eng,14,38,11,10,17,42,47,-5.0,43,1.13,,,,
1998-1999,66,Werder Bremen,de,13,34,10,8,16,41,47,-6.0,38,1.12,,,,
1998-1999,67,Strasbourg,fr,12,34,8,14,12,30,36,-6.0,38,1.12,,,,
1998-1999,68,Hansa Rostock,de,14,34,9,11,14,49,58,-9.0,38,1.12,,,,
1998-1999,69,Bastia,fr,13,34,10,8,16,37,46,-9.0,38,1.12,,,,
1998-1999,70,Salernitana,it,15,34,10,8,16,37,51,-14.0,38,1.12,,,,
1998-1999,71,Coventry City,eng,15,38,11,9,18,39,51,-12.0,42,1.11,,,,
1998-1999,72,Racing Sant,es,15,38,10,12,16,41,53,-12.0,42,1.11,,,,
1998-1999,73,Wimbledon,eng,16,38,10,12,16,40,63,-23.0,42,1.11,,,,
1998-1999,74,Auxerre,fr,14,34,9,10,15,40,45,-5.0,37,1.09,,,,
1998-1999,75,Nürnberg,de,16,34,7,16,11,40,50,-10.0,37,1.09,,,,
1998-1999,76,Eint Frankfurt,de,15,34,9,10,15,44,54,-10.0,37,1.09,,,,
1998-1999,77,Sampdoria,it,16,34,9,10,15,38,55,-17.0,37,1.09,,,,
1998-1999,78,Southampton,eng,17,38,11,8,19,37,64,-27.0,41,1.08,,,,
1998-1999,79,Alavés,es,16,38,11,7,20,36,63,-27.0,40,1.05,,,,
1998-1999,80,Le Havre,fr,15,34,8,11,15,23,38,-15.0,35,1.03,,,,
1998-1999,81,Lorient,fr,16,34,8,11,15,33,49,-16.0,35,1.03,,,,
1998-1999,82,Extremadura,es,17,38,9,12,17,27,53,-26.0,39,1.03,,,,
1998-1999,83,Vicenza,it,17,34,8,9,17,27,47,-20.0,33,0.97,,,,
1998-1999,84,Sochaux,fr,17,34,6,15,13,30,54,-24.0,33,0.97,,,,
1998-1999,85,Charlton Ath,eng,18,38,8,12,18,41,56,-15.0,36,0.95,,,,
1998-1999,86,Villarreal,es,18,38,8,12,18,47,63,-16.0,36,0.95,,,,
1998-1999,87,Blackburn,eng,19,38,7,14,17,38,52,-14.0,35,0.92,,,,
1998-1999,88,Tenerife,es,19,38,7,13,18,41,63,-22.0,34,0.89,,,,
1998-1999,89,Bochum,de,17,34,7,8,19,40,65,-25.0,29,0.85,,,,
1998-1999,90,Toulouse,fr,18,34,6,11,17,24,53,-29.0,29,0.85,,,,
1998-1999,91,Nott'ham Forest,eng,20,38,7,9,22,35,69,-34.0,30,0.79,,,,
1998-1999,92,Salamanca,es,20,38,7,6,25,29,66,-37.0,27,0.71,,,,
1998-1999,93,M'Gladbach,de,18,34,4,9,21,41,79,-38.0,21,0.62,,,,
1998-1999,94,Empoli,it,18,34,4,10,20,26,63,-37.0,20,0.59,,,,
1997-1998,1,Juventus,it,1,34,21,11,2,67,28,39.0,74,2.18,,,,
1997-1998,2,Arsenal,eng,1,38,23,9,6,68,33,35.0,78,2.05,,,,
1997-1998,3,Manchester Utd,eng,2,38,23,8,7,73,26,47.0,77,2.03,,,,
1997-1998,4,Internazionale,it,2,34,21,6,7,62,27,35.0,69,2.03,,,,
1997-1998,5,Lens,fr,1,34,21,5,8,55,30,25.0,68,2.00,,,,
1997-1998,6,Kaiserslautern,de,1,34,19,11,4,63,39,24.0,68,2.00,,,,
1997-1998,7,Metz,fr,2,34,20,8,6,48,28,20.0,68,2.00,,,,
1997-1998,8,Barcelona,es,1,38,23,5,10,78,56,22.0,74,1.95,,,,
1997-1998,9,Bayern Munich,de,2,34,19,9,6,69,37,32.0,66,1.94,,,,
1997-1998,10,Udinese,it,3,34,19,7,8,62,40,22.0,64,1.88,,,,
1997-1998,11,Roma,it,4,34,16,11,7,67,42,25.0,59,1.74,,,,
1997-1998,12,Monaco,fr,3,34,18,5,11,51,33,18.0,59,1.74,,,,
1997-1998,13,Liverpool,eng,3,38,18,11,9,68,42,26.0,65,1.71,,,,
1997-1998,14,Athletic Club,es,2,38,17,14,7,52,42,10.0,65,1.71,,,,
1997-1998,15,Fiorentina,it,5,34,15,12,7,65,36,29.0,57,1.68,,,,
1997-1998,16,Marseille,fr,4,34,16,9,9,47,27,20.0,57,1.68,,,,
1997-1998,17,Parma,it,6,34,15,12,7,55,39,16.0,57,1.68,,,,
1997-1998,18,Chelsea,eng,4,38,20,3,15,71,43,28.0,63,1.66,,,,
1997-1998,19,Real Sociedad,es,3,38,16,15,7,60,37,23.0,63,1.66,,,,
1997-1998,20,Real Madrid,es,4,38,17,12,9,63,45,18.0,63,1.66,,,,
1997-1998,21,Lazio,it,7,34,16,8,10,53,30,23.0,56,1.65,,,,
1997-1998,22,Bordeaux,fr,5,34,15,11,8,49,41,8.0,56,1.65,,,,
1997-1998,23,Leverkusen,de,3,34,14,13,7,66,39,27.0,55,1.62,,,,
1997-1998,24,Atlético Madrid,es,7,38,16,12,10,79,56,23.0,60,1.58,,,,
1997-1998,25,Mallorca,es,5,38,16,12,10,55,39,16.0,60,1.58,,,,
1997-1998,26,Celta Vigo,es,6,38,17,9,12,54,47,7.0,60,1.58,,,,
1997-1998,27,Lyon,fr,6,34,16,5,13,39,37,2.0,53,1.56,,,,
1997-1998,28,Leeds United,eng,5,38,17,8,13,57,46,11.0,59,1.55,,,,
1997-1998,29,Real Betis,es,8,38,17,8,13,49,50,-1.0,59,1.55,,,,
1997-1998,30,Schalke 04,de,5,34,13,13,8,38,32,6.0,52,1.53,,,,
1997-1998,31,Stuttgart,de,4,34,14,10,10,55,49,6.0,52,1.53,,,,
1997-1998,32,Blackburn,eng,6,38,16,10,12,57,52,5.0,58,1.53,,,,
1997-1998,33,Auxerre,fr,7,34,14,9,11,55,45,10.0,51,1.50,,,,
1997-1998,34,Hansa Rostock,de,6,34,14,9,11,54,46,8.0,51,1.50,,,,
1997-1998,35,Aston Villa,eng,7,38,17,6,15,49,48,1.0,57,1.50,,,,
1997-1998,36,Paris S-G,fr,8,34,14,8,12,43,35,8.0,50,1.47,,,,
1997-1998,37,Bastia,fr,9,34,13,11,10,36,31,5.0,50,1.47,,,,
1997-1998,38,West Ham,eng,8,38,16,8,14,56,57,-1.0,56,1.47,,,,
1997-1998,39,Werder Bremen,de,7,34,14,8,12,43,47,-4.0,50,1.47,,,,
1997-1998,40,Valencia,es,9,38,16,7,15,58,52,6.0,55,1.45,,,,
1997-1998,41,Derby County,eng,9,38,16,7,15,52,49,3.0,55,1.45,,,,
1997-1998,42,Bologna,it,8,34,12,12,10,55,46,9.0,48,1.41,,,,
1997-1998,43,Sampdoria,it,9,34,13,9,12,52,55,-3.0,48,1.41,,,,
1997-1998,44,Espanyol,es,10,38,12,17,9,44,31,13.0,53,1.39,,,,
1997-1998,45,Leicester City,eng,10,38,13,14,11,51,41,10.0,53,1.39,,,,
1997-1998,46,Coventry City,eng,11,38,12,16,10,46,44,2.0,52,1.37,,,,
1997-1998,47,Valladolid,es,11,38,13,11,14,36,47,-11.0,50,1.32,,,,
1997-1998,48,Le Havre,fr,10,34,10,14,10,38,35,3.0,44,1.29,,,,
1997-1998,49,MSV Duisburg,de,8,34,11,11,12,43,44,-1.0,44,1.29,,,,
1997-1998,50,Deportivo La Coruña,es,12,38,12,13,13,44,46,-2.0,49,1.29,,,,
1997-1998,51,Milan,it,10,34,11,11,12,37,43,-6.0,44,1.29,,,,
1997-1998,52,Hamburger SV,de,9,34,11,11,12,38,46,-8.0,44,1.29,,,,
1997-1998,53,Dortmund,de,10,34,11,10,13,57,55,2.0,43,1.26,,,,
1997-1998,54,Southampton,eng,12,38,14,6,18,50,55,-5.0,48,1.26,,,,
1997-1998,55,Zaragoza,es,13,38,12,12,14,45,53,-8.0,48,1.26,,,,
