Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,link,id,team
Christopher Lenz,de GER,DF,27.0,24,13,1290.0,14.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,2.6,3.1,30.0,63.0,67.0,0.0,0.14,0.14,0.0,0.14,0.04,0.18,0.22,0.04,0.22,Matches,/en/players/bbd86530/Christopher-Lenz,bbd86530,Eint Frankfurt
Rafael Borré,co COL,"MF,FW",26.0,32,10,1078.0,12.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,0.0,4.1,3.3,1.9,5.1,26.0,34.0,102.0,0.17,0.17,0.33,0.08,0.25,0.34,0.16,0.5,0.27,0.43,Matches,/en/players/c68da769/Rafael-Borre,c68da769,Eint Frankfurt
Junior Dina Ebimbe,fr FRA,"DF,MF",21.0,19,10,1063.0,11.8,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.7,3.7,1.4,5.1,38.0,45.0,42.0,0.25,0.08,0.34,0.25,0.34,0.31,0.12,0.43,0.31,0.43,Matches,/en/players/95bb6ddc/Junior-Dina-Ebimbe,95bb6ddc,Eint Frankfurt
Philipp Max,de GER,DF,28.0,10,8,694.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.6,2.3,14.0,34.0,52.0,0.0,0.13,0.13,0.0,0.13,0.09,0.21,0.3,0.09,0.3,Matches,/en/players/826e8b63/Philipp-Max,826e8b63,Eint Frankfurt
Luca Pellegrini,it ITA,DF,23.0,9,7,557.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.8,1.4,19.0,22.0,28.0,0.0,0.0,0.0,0.0,0.0,0.09,0.14,0.23,0.09,0.23,Matches,/en/players/3b61c9ec/Luca-Pellegrini,3b61c9ec,Eint Frankfurt
Almamy Touré,ml MLI,DF,26.0,7,5,398.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.6,1.1,2.0,17.0,8.0,0.0,0.23,0.23,0.0,0.23,0.12,0.14,0.25,0.12,0.25,Matches,/en/players/c8c60119/Almamy-Toure,c8c60119,Eint Frankfurt
Hrvoje Smolčić,hr CRO,DF,21.0,9,4,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,/en/players/c967f6b8/Hrvoje-Smolcic,c967f6b8,Eint Frankfurt
Lucas Alario,ar ARG,"FW,MF",29.0,20,2,331.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,1.5,2.0,8.0,17.0,0.27,0.0,0.27,0.27,0.27,0.39,0.01,0.4,0.39,0.4,Matches,/en/players/834d0be5/Lucas-Alario,834d0be5,Eint Frankfurt
Diant Ramaj,de GER,GK,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/b90c4a43/Diant-Ramaj,b90c4a43,Eint Frankfurt
Filip Kostić,rs SRB,"DF,MF",29.0,1,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,Matches,/en/players/b1cd37e6/Filip-Kostic,b1cd37e6,Eint Frankfurt
Faride Alidou,de GER,"DF,MF",21.0,15,0,182.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,8.0,16.0,24.0,0.0,0.49,0.49,0.0,0.49,0.05,0.24,0.28,0.05,0.28,Matches,/en/players/00f518d8/Faride-Alidou,00f518d8,Eint Frankfurt
Paxten Aaronson,us USA,"MF,DF",18.0,7,0,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,8.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,Matches,/en/players/4cd41883/Paxten-Aaronson,4cd41883,Eint Frankfurt
Timothy Chandler,us USA,DF,32.0,6,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,/en/players/b3b7f5a6/Timothy-Chandler,b3b7f5a6,Eint Frankfurt
Dario Gebuhr,de GER,DF,19.0,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/277be51d/Dario-Gebuhr,277be51d,Eint Frankfurt
Marcel Wenig,de GER,MF,18.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/1c86aa16/Marcel-Wenig,1c86aa16,Eint Frankfurt
Jens Grahl,de GER,GK,33.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/f26dee6b/Jens-Grahl,f26dee6b,Eint Frankfurt
Jérôme Onguéné,cm CMR,DF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/e81f0356/Jerome-Onguene,e81f0356,Eint Frankfurt
Lukáš Hrádecký,fi FIN,GK,32.0,33,33,2969.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/ad3389d5/Lukas-Hradecky,ad3389d5,Leverkusen
Moussa Diaby,fr FRA,"FW,MF",23.0,33,33,2699.0,30.0,9.0,8.0,17.0,9.0,0.0,1.0,4.0,0.0,11.0,10.3,8.2,18.5,125.0,104.0,258.0,0.3,0.27,0.57,0.3,0.57,0.37,0.27,0.64,0.34,0.62,Matches,/en/players/aeed5c06/Moussa-Diaby,aeed5c06,Leverkusen
Edmond Tapsoba,bf BFA,DF,23.0,33,32,2871.0,31.9,1.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,2.8,1.2,1.0,2.2,40.0,169.0,10.0,0.03,0.0,0.03,0.0,0.0,0.09,0.03,0.12,0.04,0.07,Matches,/en/players/a73c8f95/Edmond-Tapsoba,a73c8f95,Leverkusen
Jeremie Frimpong,nl NED,"DF,MF",21.0,34,32,2708.0,30.1,8.0,7.0,15.0,8.0,0.0,0.0,4.0,0.0,7.6,7.6,6.2,13.8,155.0,62.0,250.0,0.27,0.23,0.5,0.27,0.5,0.25,0.21,0.46,0.25,0.46,Matches,/en/players/74f2e748/Jeremie-Frimpong,74f2e748,Leverkusen
Jonathan Tah,de GER,DF,26.0,33,28,2487.0,27.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,0.5,1.5,8.0,56.0,4.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,/en/players/bd142efb/Jonathan-Tah,bd142efb,Leverkusen
Robert Andrich,de GER,MF,27.0,29,28,2406.0,26.7,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,1.2,2.8,12.0,99.0,8.0,0.07,0.07,0.15,0.07,0.15,0.06,0.04,0.11,0.06,0.11,Matches,/en/players/e0b113a7/Robert-Andrich,e0b113a7,Leverkusen
Piero Hincapié,ec ECU,DF,20.0,30,27,2457.0,27.3,1.0,1.0,2.0,1.0,0.0,0.0,13.0,3.0,1.3,1.3,1.0,2.4,46.0,83.0,42.0,0.04,0.04,0.07,0.04,0.07,0.05,0.04,0.09,0.05,0.09,Matches,/en/players/0c7a48f8/Piero-Hincapie,0c7a48f8,Leverkusen
Mitchel Bakker,nl NED,"DF,MF",22.0,28,19,1659.0,18.4,3.0,2.0,5.0,3.0,0.0,0.0,6.0,1.0,1.7,1.7,2.0,3.6,28.0,57.0,65.0,0.16,0.11,0.27,0.16,0.27,0.09,0.11,0.2,0.09,0.2,Matches,/en/players/a8567629/Mitchel-Bakker,a8567629,Leverkusen
Exequiel Palacios,ar ARG,MF,23.0,25,19,1654.0,18.4,4.0,2.0,6.0,1.0,3.0,3.0,4.0,0.0,3.0,0.6,1.3,1.9,12.0,105.0,27.0,0.22,0.11,0.33,0.05,0.16,0.16,0.07,0.23,0.03,0.11,Matches,/en/players/e82adcab/Exequiel-Palacios,e82adcab,Leverkusen
Kerem Demirbay,de GER,MF,29.0,25,17,1544.0,17.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.2,2.2,3.0,5.2,22.0,86.0,21.0,0.23,0.17,0.41,0.23,0.41,0.13,0.17,0.31,0.13,0.31,Matches,/en/players/54b4dc4e/Kerem-Demirbay,54b4dc4e,Leverkusen
Odilon Kossonou,ci CIV,DF,21.0,24,17,1523.0,16.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,26.0,77.0,16.0,0.0,0.06,0.06,0.0,0.06,0.01,0.01,0.02,0.01,0.02,Matches,/en/players/1f3afdcb/Odilon-Kossonou,1f3afdcb,Leverkusen
Amine Adli,fr FRA,"FW,MF",22.0,26,16,1435.0,15.9,5.0,3.0,8.0,5.0,0.0,0.0,2.0,2.0,5.0,5.0,1.7,6.7,46.0,49.0,137.0,0.31,0.19,0.5,0.31,0.5,0.31,0.11,0.42,0.31,0.42,Matches,/en/players/dcfb17f4/Amine-Adli,dcfb17f4,Leverkusen
Adam Hložek,cz CZE,"FW,MF",20.0,29,16,1286.0,14.3,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,2.7,2.7,2.5,5.3,22.0,32.0,70.0,0.35,0.21,0.56,0.35,0.56,0.19,0.18,0.37,0.19,0.37,Matches,/en/players/5521f419/Adam-Hlozek,5521f419,Leverkusen
Florian Wirtz,de GER,"FW,MF",19.0,17,11,1090.0,12.1,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,3.9,4.7,36.0,80.0,86.0,0.08,0.5,0.58,0.08,0.58,0.06,0.32,0.39,0.06,0.39,Matches,/en/players/e7fcf289/Florian-Wirtz,e7fcf289,Leverkusen
Patrik Schick,cz CZE,FW,26.0,14,10,941.0,10.5,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,4.6,4.6,0.6,5.1,8.0,11.0,68.0,0.29,0.1,0.38,0.29,0.38,0.44,0.05,0.49,0.44,0.49,Matches,/en/players/5d4f7d61/Patrik-Schick,5d4f7d61,Leverkusen
Nadiem Amiri,de GER,"MF,FW",25.0,25,9,977.0,10.9,4.0,1.0,5.0,3.0,1.0,1.0,6.0,0.0,1.9,1.1,1.1,2.2,30.0,55.0,30.0,0.37,0.09,0.46,0.28,0.37,0.17,0.1,0.27,0.1,0.2,Matches,/en/players/555d5edd/Nadiem-Amiri,555d5edd,Leverkusen
Sardar Azmoun,ir IRN,"FW,MF",27.0,23,8,927.0,10.3,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,3.5,3.5,2.5,6.0,11.0,32.0,45.0,0.39,0.1,0.49,0.39,0.49,0.34,0.24,0.58,0.34,0.58,Matches,/en/players/10549b49/Sardar-Azmoun,10549b49,Leverkusen
Callum Hudson-Odoi,eng ENG,"FW,MF",21.0,14,7,605.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.9,30.0,31.0,44.0,0.0,0.15,0.15,0.0,0.15,0.03,0.11,0.14,0.03,0.14,Matches,/en/players/15f3ec41/Callum-Hudson-Odoi,15f3ec41,Leverkusen
Charles Aránguiz,cl CHI,MF,33.0,10,4,493.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,3.0,32.0,7.0,0.18,0.0,0.18,0.18,0.18,0.06,0.04,0.1,0.06,0.1,Matches,/en/players/56413b1f/Charles-Aranguiz,56413b1f,Leverkusen
Daley Sinkgraven,nl NED,"DF,MF",27.0,12,4,344.0,3.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.3,1.4,8.0,8.0,17.0,0.0,0.52,0.52,0.0,0.52,0.04,0.33,0.37,0.04,0.37,Matches,/en/players/73000a79/Daley-Sinkgraven,73000a79,Leverkusen
Timothy Fosu-Mensah,nl NED,DF,24.0,11,1,191.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,3.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,Matches,/en/players/a9142dc3/Timothy-Fosu-Mensah,a9142dc3,Leverkusen
Andrey Lunyov,ru RUS,GK,30.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/8a6ab963/Andrey-Lunyov,8a6ab963,Leverkusen
Karim Bellarabi,de GER,"FW,MF",32.0,8,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/bee0bab1/Karim-Bellarabi,bee0bab1,Leverkusen
Paulinho,br BRA,FW,22.0,4,1,82.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,3.0,4.0,8.0,1.1,0.0,1.1,1.1,1.1,0.58,0.0,0.58,0.58,0.58,Matches,/en/players/53070b63/Paulinho,53070b63,Leverkusen
Joel Pohjanpalo,fi FIN,"FW,MF",27.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/ea003d07/Joel-Pohjanpalo,ea003d07,Leverkusen
Ayman Azhil,ma MAR,MF,21.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/ce81d82d/Ayman-Azhil,ce81d82d,Leverkusen
Noah Mbamba,be BEL,MF,17.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/e75129bd/Noah-Mbamba,e75129bd,Leverkusen
Ayman Aourir,de GER,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/baeac12a/Ayman-Aourir,baeac12a,Leverkusen
Leon Köhl,de GER,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/0f12a8ca/Leon-Kohl,0f12a8ca,Leverkusen
Niklas Lomb,de GER,GK,29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/9321b8ed/Niklas-Lomb,9321b8ed,Leverkusen
Madi Monamay,be BEL,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/c65f3cb5/Madi-Monamay,c65f3cb5,Leverkusen
Patrick Pentz,at AUT,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/0810b6df/Patrick-Pentz,0810b6df,Leverkusen
Zidan Sertdemir,dk DEN,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/eec1f7f4/Zidan-Sertdemir,eec1f7f4,Leverkusen
Cristiano Biraghi,it ITA,DF,29.0,33,30,2551.0,28.3,2.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,1.8,1.1,5.5,6.6,69.0,161.0,113.0,0.07,0.14,0.21,0.07,0.21,0.07,0.19,0.26,0.04,0.23,Matches,/en/players/9e1577aa/Cristiano-Biraghi,9e1577aa,Fiorentina
Pietro Terracciano,it ITA,GK,32.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/e1b0a70d/Pietro-Terracciano,e1b0a70d,Fiorentina
Dodô,br BRA,DF,23.0,33,28,2331.0,25.9,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,0.7,0.7,2.2,2.9,72.0,141.0,104.0,0.04,0.12,0.15,0.04,0.15,0.03,0.09,0.11,0.03,0.11,Matches,/en/players/b5f7d10b/Dodo,b5f7d10b,Fiorentina
Lucas Martínez Quarta,ar ARG,DF,26.0,27,25,2171.0,24.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.5,2.5,0.6,3.1,19.0,119.0,6.0,0.04,0.04,0.08,0.04,0.08,0.1,0.02,0.13,0.1,0.13,Matches,/en/players/3ec3c1c9/Lucas-Martinez-Quarta,3ec3c1c9,Fiorentina
Jonathan Ikone,fr FRA,FW,24.0,33,24,2007.0,22.3,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,4.1,4.1,3.7,7.8,83.0,67.0,178.0,0.18,0.18,0.36,0.18,0.36,0.18,0.17,0.35,0.18,0.35,Matches,/en/players/42eaa028/Jonathan-Ikone,42eaa028,Fiorentina
Sofyan Amrabat,ma MAR,MF,25.0,29,24,1998.0,22.2,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.5,0.5,1.1,1.6,36.0,176.0,24.0,0.0,0.05,0.05,0.0,0.05,0.02,0.05,0.07,0.02,0.07,Matches,/en/players/5a2cb25d/Sofyan-Amrabat,5a2cb25d,Fiorentina
Nikola Milenković,rs SRB,DF,24.0,27,23,2137.0,23.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,0.5,2.4,9.0,78.0,3.0,0.08,0.04,0.13,0.08,0.13,0.08,0.02,0.1,0.08,0.1,Matches,/en/players/bee704fc/Nikola-Milenkovic,bee704fc,Fiorentina
Igor,br BRA,DF,24.0,27,23,2057.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.5,0.5,0.2,0.8,19.0,76.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,/en/players/a4e85758/Igor,a4e85758,Fiorentina
Rolando Mandragora,it ITA,MF,25.0,29,22,1950.0,21.7,2.0,4.0,6.0,2.0,0.0,0.0,8.0,0.0,1.5,1.5,4.9,6.4,18.0,142.0,59.0,0.09,0.18,0.28,0.09,0.28,0.07,0.23,0.3,0.07,0.3,Matches,/en/players/c7259b83/Rolando-Mandragora,c7259b83,Fiorentina
Christian Kouamé,ci CIV,FW,24.0,28,22,1866.0,20.7,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,5.3,5.3,3.7,9.0,50.0,54.0,203.0,0.19,0.19,0.39,0.19,0.39,0.26,0.18,0.43,0.26,0.43,Matches,/en/players/58e933d2/Christian-Kouame,58e933d2,Fiorentina
Giacomo Bonaventura,it ITA,MF,32.0,30,21,1911.0,21.2,5.0,1.0,6.0,5.0,0.0,0.0,4.0,1.0,4.3,4.3,3.1,7.4,64.0,102.0,91.0,0.24,0.05,0.28,0.24,0.28,0.2,0.15,0.35,0.2,0.35,Matches,/en/players/d995ed27/Giacomo-Bonaventura,d995ed27,Fiorentina
Antonín Barák,cz CZE,MF,27.0,30,21,1799.0,20.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.6,2.6,1.6,4.1,45.0,82.0,93.0,0.1,0.0,0.1,0.1,0.1,0.13,0.08,0.21,0.13,0.21,Matches,/en/players/01efac19/Antonin-Barak,01efac19,Fiorentina
Luka Jović,rs SRB,"FW,MF",24.0,31,16,1534.0,17.0,6.0,3.0,9.0,6.0,0.0,1.0,3.0,0.0,7.9,7.1,1.5,8.6,8.0,28.0,75.0,0.35,0.18,0.53,0.35,0.53,0.46,0.09,0.55,0.42,0.51,Matches,/en/players/4d8cd038/Luka-Jovic,4d8cd038,Fiorentina
Arthur,br BRA,FW,24.0,28,15,1432.0,15.9,8.0,1.0,9.0,6.0,2.0,2.0,4.0,0.0,7.9,6.3,0.8,7.0,11.0,21.0,86.0,0.5,0.06,0.57,0.38,0.44,0.49,0.05,0.54,0.39,0.44,Matches,/en/players/a820e429/Arthur,a820e429,Fiorentina
Riccardo Saponara,it ITA,FW,30.0,29,14,1208.0,13.4,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,2.8,2.8,3.4,6.2,56.0,56.0,125.0,0.3,0.22,0.52,0.3,0.52,0.21,0.26,0.46,0.21,0.46,Matches,/en/players/3bb7af3b/Riccardo-Saponara,3bb7af3b,Fiorentina
Nicolás González,ar ARG,"FW,MF",24.0,24,13,1354.0,15.0,6.0,1.0,7.0,4.0,2.0,2.0,3.0,0.0,6.7,5.4,1.3,6.7,37.0,70.0,112.0,0.4,0.07,0.47,0.27,0.33,0.45,0.09,0.53,0.36,0.45,Matches,/en/players/2374aaca/Nicolas-Gonzalez,2374aaca,Fiorentina
Alfred Duncan,gh GHA,MF,29.0,25,13,1103.0,12.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.6,1.1,18.0,70.0,30.0,0.08,0.0,0.08,0.08,0.08,0.04,0.05,0.09,0.04,0.09,Matches,/en/players/528492ea/Alfred-Duncan,528492ea,Fiorentina
Lorenzo Venuti,it ITA,DF,27.0,17,9,924.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,24.0,44.0,43.0,0.0,0.1,0.1,0.0,0.1,0.04,0.05,0.09,0.04,0.09,Matches,/en/players/983ff2c7/Lorenzo-Venuti,983ff2c7,Fiorentina
Riccardo Sottil,it ITA,FW,23.0,18,9,833.0,9.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.1,2.2,65.0,27.0,123.0,0.0,0.22,0.22,0.0,0.22,0.11,0.12,0.23,0.11,0.23,Matches,/en/players/94816803/Riccardo-Sottil,94816803,Fiorentina
Aleksa Terzić,rs SRB,DF,22.0,22,8,935.0,10.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,1.9,2.3,49.0,40.0,61.0,0.1,0.1,0.19,0.1,0.19,0.04,0.18,0.22,0.04,0.22,Matches,/en/players/3ef0a2d7/Aleksa-Terzic,3ef0a2d7,Fiorentina
Gaetano Castrovilli,it ITA,MF,25.0,15,7,718.0,8.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.2,1.2,1.1,2.3,12.0,14.0,16.0,0.25,0.13,0.38,0.25,0.38,0.15,0.14,0.29,0.15,0.29,Matches,/en/players/0728bebe/Gaetano-Castrovilli,0728bebe,Fiorentina
Luca Ranieri,it ITA,DF,23.0,9,5,508.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,/en/players/8c63fae5/Luca-Ranieri,8c63fae5,Fiorentina
Michele Cerofolini,it ITA,GK,23.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/efdeaff3/Michele-Cerofolini,efdeaff3,Fiorentina
Youssef Maleh,ma MAR,MF,23.0,7,4,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.2,3.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.36,0.17,0.36,Matches,/en/players/4c8845f7/Youssef-Maleh,4c8845f7,Fiorentina
Pierluigi Gollini,it ITA,GK,27.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/f0f7f62f/Pierluigi-Gollini,f0f7f62f,Fiorentina
Alessandro Bianco,it ITA,MF,19.0,7,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,/en/players/d65cf468/Alessandro-Bianco,d65cf468,Fiorentina
Josip Brekalo,hr CRO,"FW,MF",24.0,6,1,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.5,1.2,11.0,18.0,31.0,0.0,0.0,0.0,0.0,0.0,0.26,0.2,0.46,0.26,0.46,Matches,/en/players/d4a2533d/Josip-Brekalo,d4a2533d,Fiorentina
Marco Benassi,it ITA,DF,27.0,2,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,/en/players/0000acda/Marco-Benassi,0000acda,Fiorentina
Salvatore Sirigu,it ITA,GK,35.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/10dc46f0/Salvatore-Sirigu,10dc46f0,Fiorentina
Szymon Żurkowski,pl POL,MF,24.0,2,0,32.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,1.0,4.0,0.0,2.81,2.81,0.0,2.81,0.33,0.06,0.4,0.33,0.4,Matches,/en/players/4e1d5e59/Szymon-Zurkowski,4e1d5e59,Fiorentina
Lorenzo Amatucci,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/13b9e2fb/Lorenzo-Amatucci,13b9e2fb,Fiorentina
Filippo Distefano,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/2110f96c/Filippo-Distefano,2110f96c,Fiorentina
Costantino Favasuli,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/8b38f187/Costantino-Favasuli,8b38f187,Fiorentina
Michael Kayode,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/e19660a8/Michael-Kayode,e19660a8,Fiorentina
