Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,link,id,team
Waniss Taibi,fr FRA,MF,20.0,11,1,189.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,8.0,16.0,7.0,0.0,0.48,0.48,0.0,0.48,0.15,0.03,0.18,0.15,0.18,Matches,/en/players/95192fe4/Waniss-Taibi,95192fe4,Angers
Lilian Raolisoa,fr FRA,"DF,MF",22.0,7,0,173.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.0,5.0,10.0,16.0,0.52,0.0,0.52,0.52,0.52,0.09,0.41,0.5,0.09,0.5,Matches,/en/players/79a793b7/Lilian-Raolisoa,79a793b7,Angers
Zinédine Ould Khaled,fr FRA,"MF,FW",22.0,4,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.54,0.54,0.54,Matches,/en/players/6b4436ba/Zinedine-Ould-Khaled,6b4436ba,Angers
Marin Jakoliš,hr CRO,FW,25.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,/en/players/96f4ebc0/Marin-Jakolis,96f4ebc0,Angers
Jason Mbock,fr FRA,"MF,FW",22.0,2,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,Matches,/en/players/890bc029/Jason-Mbock,890bc029,Angers
Antonin Bobichon,fr FRA,MF,26.0,3,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.28,1.01,1.3,0.28,1.3,Matches,/en/players/7d937aa1/Antonin-Bobichon,7d937aa1,Angers
Salim Akkal,fr FRA,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/587823f4/Salim-Akkal,587823f4,Angers
Yassin Belkhdim,fr FRA,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/e21d1928/Yassin-Belkhdim,e21d1928,Angers
Théo Borne,fr FRA,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/101fc260/Theo-Borne,101fc260,Angers
Yacine Gaya,dz ALG,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/b9607d17/Yacine-Gaya,b9607d17,Angers
Noah Guede-Nadje,fr FRA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/94b442c0/Noah-Guede-Nadje,94b442c0,Angers
Demba N'Diaye,fr FRA,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/e0708831/Demba-NDiaye,e0708831,Angers
Tommaso Augello,it ITA,DF,27.0,37,35,3061.0,34.0,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,3.9,4.8,84.0,119.0,153.0,0.06,0.15,0.21,0.06,0.21,0.03,0.11,0.14,0.03,0.14,Matches,/en/players/3cd3b384/Tommaso-Augello,3cd3b384,Sampdoria
Tomás Rincón,ve VEN,MF,34.0,34,30,2555.0,28.4,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.6,0.6,1.2,1.8,27.0,122.0,35.0,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,Matches,/en/players/f1cfc209/Tomas-Rincon,f1cfc209,Sampdoria
Mehdi Léris,dz ALG,"MF,DF",24.0,32,29,2460.0,27.3,1.0,1.0,2.0,1.0,0.0,0.0,13.0,0.0,3.4,3.4,1.8,5.2,56.0,62.0,165.0,0.04,0.04,0.07,0.04,0.07,0.13,0.07,0.19,0.13,0.19,Matches,/en/players/7d3cbc67/Mehdi-Leris,7d3cbc67,Sampdoria
