id,futbin_name,ustat_name,score
41236,Zlatan Ibrahimović,Zlatan Ibrahimovic,94.44444444444444
239433,Nemanja Maksimović,Nemanja Maksimovic,94.44444444444444
231969,Ruslan Malinovskyi,Ruslan Malinovskiy,94.44444444444444
231969,Ruslan Malinovskyi,Ruslan Malinovskiy,94.44444444444444
215716,Aleksandar Mitrović,Aleksandar Mitrovic,94.73684210526315
237712,Valentin Castellanos,Valentín Castellanos,95.0
212138,Przemysław Frankowski,Przemyslaw Frankowski,95.23809523809524
234686,Jordan Lotomba,Jordan Lotomba,100.0
203535,Tonny Vilhena,Tonny Vilhena,100.0
241721,Rafael Leão,Rafael Leão,100.0
235805,Federico Chiesa,Federico Chiesa,100.0
206654,Pablo Marí Villar,Pablo Marí,100.0
258861,João Victor da Silva Marcelino,João Victor,100.0
183898,Ángel Di María,Ángel Di María,100.0
184344,Leonardo Bonucci,Leonardo Bonucci,100.0
256854,Warmed Omari,Warmed Omari,100.0
239732,Szymon Zurkowski,Szymon Zurkowski,100.0
259307,Malo Gusto,Malo Gusto,100.0
232656,Theo Hernández,Theo Hernández,100.0
232097,Amine Harit,Amine Harit,100.0
195864,Paul Pogba,Paul Pogba,100.0
211110,Paulo Dybala,Paulo Dybala,100.0
243237,Luca Pellegrini,Luca Pellegrini,100.0
153275,Jean-Louis Leca,Jean-Louis Leca,100.0
216352,Marcelo Brozovic,Marcelo Brozovic,100.0
212602,Diego Llorente,Diego Llorente,100.0
204451,Koray Günter,Koray Günter,100.0
201377,Jeison Murillo,Jeison Murillo,100.0
198683,Manolo Gabbiadini,Manolo Gabbiadini,100.0
210896,Morgan Sanson,Morgan Sanson,100.0
209288,Florent Mollet,Florent Mollet,100.0
241167,Youcef Belaïli,Mohamed Youcef Belaïli,100.0
232756,Fikayo Tomori,Fikayo Tomori,100.0
198706,Luis Alberto,Luis Alberto,100.0
193082,Juan Cuadrado,Juan Cuadrado,100.0
211147,Valentino Lazaro,Valentino Lazaro,100.0
210964,Federico Ceccherini,Federico Ceccherini,100.0
225508,Eric Bailly,Eric Bailly,100.0
210864,Elseid Hysaj,Elseid Hysaj,100.0
239580,Bremer,Bremer,100.0
162835,Samir Handanovic,Samir Handanovic,100.0
236804,Facundo Medina,Facundo Medina,100.0
198176,Stefan de Vrij,Stefan de Vrij,100.0
194845,Wahbi Khazri,Wahbi Khazri,100.0
252060,Tommaso Pobega,Tommaso Pobega,100.0
210935,Domenico Berardi,Domenico Berardi,100.0
237383,Alessandro Bastoni,Alessandro Bastoni,100.0
208535,Alfred Duncan,Alfred Duncan,100.0
222400,Harry Winks,Harry Winks,100.0
228251,Lorenzo Pellegrini,Lorenzo Pellegrini,100.0
253444,Arnaud Kalimuendo,Arnaud Kalimuendo Muinga,100.0
199189,Ross Barkley,Ross Barkley,100.0
241167,Youcef Belaïli,Mohamed Youcef Belaïli,100.0
263781,Vanderson de Oliveira Campos,Vanderson,100.0
241096,Sandro Tonali,Sandro Tonali,100.0
239575,Gerzino Nyamsi,Gerzino Nyamsi,100.0
223671,Stefan Posch,Stefan Posch,100.0
224232,Nicolò Barella,Nicolò Barella,100.0
237640,Nedim Bajrami,Nedim Bajrami,100.0
251217,Jean Lucas,Jean Lucas,100.0
215410,Brendan Chardonnet,Brendan Chardonnet,100.0
201858,Nicola Sansone,Nicola Sansone,100.0
246350,Enzo Le Fée,Enzo Le Fée,100.0
243580,Loïs Openda,Loïs Openda,100.0
217699,Islam Slimani,Islam Slimani,100.0
242835,Leonardo Balerdi,Leonardo Balerdi,100.0
241821,Mohamed Bayo,Mohamed Bayo,100.0
240754,Youcef Atal,Youcef Atal,100.0
239956,Myron Boadu,Myron Boadu,100.0
252339,Tiago Djaló,Tiago Djaló,100.0
220905,Jean-Eudes Aholou,Jean Eudes Aholou,100.0
237985,Kevin Danso,Kevin Danso,100.0
232293,Victor Osimhen,Victor Osimhen,100.0
221284,Jonathan Gradit,Jonathan Gradit,100.0
181318,Albin Ekdal,Albin Ekdal,100.0
235456,Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,100.0
