fb_team,futbin_id,us_team,db_id
SC Freiburg,25.0,Freiburg,77.0
Sevilla FC,481.0,Sevilla,78.0
Southampton,17.0,Southampton,79.0
Spurs,18.0,Tottenham,80.0
SS Lazio,115841.0,Lazio,81.0
Stade Brestois 29,378.0,Brest,82.0
Stade de Reims,379.0,Reims,83.0
Strasbourg,76.0,Strasbourg,84.0
Torino,54.0,Torino,85.0
Troyes,294.0,Troyes,86.0
TSG Hoffenheim,10029.0,Hoffenheim,87.0
UD Almería,1861.0,Almeria,88.0
Udinese,55.0,Udinese,89.0
Union Berlin,1831.0,Union Berlin,90.0
Valencia CF,461.0,Valencia,91.0
VfB Stuttgart,36.0,VfB Stuttgart,92.0
VfL Bochum,160.0,Bochum,93.0
VfL Wolfsburg,175.0,Wolfsburg,94.0
Villarreal CF,483.0,Villarreal,95.0
Werder Bremen,38.0,Werder Bremen,96.0
West Ham,19.0,West Ham,97.0
Wolves,110.0,Wolverhampton Wanderers,98.0
Norwich,1792.0,Norwich,99.0
Watford,1795.0,Watford,100.0
Burnley,1796.0,Burnley,101.0
D. Alavés,463.0,Alaves,102.0
Granada CF,110832.0,Granada,103.0
Levante UD,1853.0,Levante,104.0
Genoa,110556.0,Genoa,105.0
Cagliari,1842.0,Cagliari,106.0
Napoli,48.0,Napoli,55.0
Venezia,205.0,Venezia,107.0
Piemonte Calcio,114153.0,Juventus,42.0
FC Metz,68.0,Metz,108.0
ASSE,1819.0,Saint-Etienne,109.0
Bordeaux,59.0,Bordeaux,110.0
Bielefeld,159.0,Arminia Bielefeld,111.0
Greuther Fürth,165.0,Greuther Fuerth,112.0
Sheffield Utd,1794.0,Sheffield United,113.0
West Brom,109.0,West Bromwich Albion,114.0
SD Eibar,467.0,Eibar,115.0
SD Huesca,110839.0,Huesca,116.0
Parma,50.0,Parma Calcio 1913,117.0
Benevento,112026.0,Benevento,118.0
Lazio,46.0,Lazio,81.0
Atalanta,39.0,None,12.0
Dijon FCO,110569.0,Dijon,119.0
Nîmes Olympique,224.0,Nimes,120.0
CD Leganés,100888.0,Leganes,121.0
Roma,52.0,Roma,73.0
Brescia,190.0,Brescia,122.0
SPAL,112791.0,SPAL 2013,123.0
Amiens SC,1816.0,Amiens,124.0
Fortuna Düsseldorf,110636.0,Fortuna Duesseldorf,125.0
